Vardas              Pavarde             Galutinis vidurkis  Galutine mediana    
Vardas4294          Pavarde4294         2.84                1.00                
Vardas4318          Pavarde4318         2.84                5.00                
Vardas9441          Pavarde9441         2.84                6.00                
Vardas2126          Pavarde2126         2.84                1.00                
Vardas4833          Pavarde4833         2.84                6.00                
Vardas9514          Pavarde9514         2.84                5.00                
Vardas6677          Pavarde6677         2.84                6.00                
Vardas9520          Pavarde9520         2.84                5.00                
Vardas2234          Pavarde2234         2.84                7.00                
Vardas2314          Pavarde2314         2.84                5.00                
Vardas3902          Pavarde3902         2.84                5.00                
Vardas9817          Pavarde9817         2.84                6.00                
Vardas1885          Pavarde1885         2.84                6.00                
Vardas7926          Pavarde7926         2.84                6.00                
Vardas4519          Pavarde4519         2.84                5.00                
Vardas9543          Pavarde9543         2.84                6.00                
Vardas4381          Pavarde4381         2.84                4.00                
Vardas2107          Pavarde2107         2.84                3.00                
Vardas6681          Pavarde6681         2.84                6.00                
Vardas1387          Pavarde1387         2.84                6.00                
Vardas3890          Pavarde3890         2.84                4.00                
Vardas5808          Pavarde5808         2.84                5.00                
Vardas677           Pavarde677          2.84                4.00                
Vardas8788          Pavarde8788         2.84                5.00                
Vardas9675          Pavarde9675         2.84                7.00                
Vardas9195          Pavarde9195         2.84                2.00                
Vardas1496          Pavarde1496         2.84                5.00                
Vardas587           Pavarde587          2.84                7.00                
Vardas7608          Pavarde7608         2.84                6.00                
Vardas5166          Pavarde5166         2.84                6.00                
Vardas986           Pavarde986          2.84                5.00                
Vardas8698          Pavarde8698         2.84                5.00                
Vardas3155          Pavarde3155         2.84                4.00                
Vardas2275          Pavarde2275         2.84                6.00                
Vardas5108          Pavarde5108         2.84                6.00                
Vardas2579          Pavarde2579         2.84                7.00                
Vardas1520          Pavarde1520         2.84                5.00                
Vardas3604          Pavarde3604         2.84                5.00                
Vardas2842          Pavarde2842         2.84                6.00                
Vardas6942          Pavarde6942         2.84                1.00                
Vardas8461          Pavarde8461         2.84                4.00                
Vardas9278          Pavarde9278         2.84                6.00                
Vardas1366          Pavarde1366         2.84                6.00                
Vardas2470          Pavarde2470         2.84                6.00                
Vardas3271          Pavarde3271         2.84                6.00                
Vardas936           Pavarde936          2.84                6.00                
Vardas5029          Pavarde5029         2.84                5.00                
Vardas5659          Pavarde5659         2.84                5.00                
Vardas2831          Pavarde2831         2.84                5.00                
Vardas7308          Pavarde7308         2.84                2.00                
Vardas7307          Pavarde7307         2.84                5.00                
Vardas4398          Pavarde4398         2.84                1.00                
Vardas7849          Pavarde7849         2.88                3.00                
Vardas6225          Pavarde6225         2.88                2.00                
Vardas8039          Pavarde8039         2.88                1.00                
Vardas9340          Pavarde9340         2.88                3.00                
Vardas3635          Pavarde3635         2.88                4.00                
Vardas4740          Pavarde4740         2.88                5.00                
Vardas5158          Pavarde5158         2.88                3.00                
Vardas3182          Pavarde3182         2.88                5.00                
Vardas5392          Pavarde5392         2.88                3.00                
Vardas1264          Pavarde1264         2.88                2.00                
Vardas8075          Pavarde8075         2.88                3.00                
Vardas8098          Pavarde8098         2.88                3.00                
Vardas4853          Pavarde4853         2.88                5.00                
Vardas2169          Pavarde2169         2.88                4.00                
Vardas8520          Pavarde8520         2.88                3.00                
Vardas4839          Pavarde4839         2.88                3.00                
Vardas2510          Pavarde2510         2.88                2.00                
Vardas8784          Pavarde8784         2.88                3.00                
Vardas9845          Pavarde9845         2.88                4.00                
Vardas4315          Pavarde4315         2.88                3.00                
Vardas2216          Pavarde2216         2.88                3.00                
Vardas9202          Pavarde9202         2.88                1.00                
Vardas7856          Pavarde7856         2.88                2.00                
Vardas2548          Pavarde2548         2.88                5.00                
Vardas8101          Pavarde8101         2.88                3.00                
Vardas6121          Pavarde6121         2.88                3.00                
Vardas8161          Pavarde8161         2.88                5.00                
Vardas8764          Pavarde8764         2.88                4.00                
Vardas4054          Pavarde4054         2.88                5.00                
Vardas2494          Pavarde2494         2.88                3.00                
Vardas7549          Pavarde7549         2.88                4.00                
Vardas2884          Pavarde2884         2.88                1.00                
Vardas2104          Pavarde2104         2.88                4.00                
Vardas520           Pavarde520          2.88                6.00                
Vardas8818          Pavarde8818         2.88                5.00                
Vardas7             Pavarde7            2.92                6.00                
Vardas2520          Pavarde2520         2.92                4.00                
Vardas7855          Pavarde7855         2.92                8.00                
Vardas7894          Pavarde7894         2.92                4.00                
Vardas6408          Pavarde6408         2.92                6.00                
Vardas3532          Pavarde3532         2.92                6.00                
Vardas797           Pavarde797          2.92                5.00                
Vardas1847          Pavarde1847         2.92                5.00                
Vardas8944          Pavarde8944         2.92                4.00                
Vardas3203          Pavarde3203         2.92                7.00                
Vardas7934          Pavarde7934         2.92                5.00                
Vardas8965          Pavarde8965         2.92                5.00                
Vardas9657          Pavarde9657         2.92                4.00                
Vardas836           Pavarde836          2.92                5.00                
Vardas5877          Pavarde5877         2.92                6.00                
Vardas9636          Pavarde9636         2.92                7.00                
Vardas2730          Pavarde2730         2.92                6.00                
Vardas4115          Pavarde4115         2.92                5.00                
Vardas9023          Pavarde9023         2.92                6.00                
Vardas6063          Pavarde6063         2.92                6.00                
Vardas2965          Pavarde2965         2.92                3.00                
Vardas4498          Pavarde4498         2.92                6.00                
Vardas524           Pavarde524          2.92                6.00                
Vardas5958          Pavarde5958         2.92                6.00                
Vardas9409          Pavarde9409         2.92                5.00                
Vardas602           Pavarde602          2.92                5.00                
Vardas5259          Pavarde5259         2.92                5.00                
Vardas4436          Pavarde4436         2.92                6.00                
Vardas1706          Pavarde1706         2.92                4.00                
Vardas1700          Pavarde1700         2.92                7.00                
Vardas8049          Pavarde8049         2.92                6.00                
Vardas7439          Pavarde7439         2.92                6.00                
Vardas1691          Pavarde1691         2.92                2.00                
Vardas1689          Pavarde1689         2.92                5.00                
Vardas552           Pavarde552          2.92                6.00                
Vardas909           Pavarde909          2.92                6.00                
Vardas9334          Pavarde9334         2.92                7.00                
Vardas7681          Pavarde7681         2.92                5.00                
Vardas4918          Pavarde4918         2.92                7.00                
Vardas8100          Pavarde8100         2.92                6.00                
Vardas2315          Pavarde2315         2.92                5.00                
Vardas5406          Pavarde5406         2.92                4.00                
Vardas7005          Pavarde7005         2.92                6.00                
Vardas8605          Pavarde8605         2.92                7.00                
Vardas5356          Pavarde5356         2.92                5.00                
Vardas9203          Pavarde9203         2.92                5.00                
Vardas564           Pavarde564          2.92                5.00                
Vardas6850          Pavarde6850         2.92                5.00                
Vardas5726          Pavarde5726         2.92                6.00                
Vardas2058          Pavarde2058         2.92                6.00                
Vardas6230          Pavarde6230         2.92                6.00                
Vardas417           Pavarde417          2.92                6.00                
Vardas2022          Pavarde2022         2.92                6.00                
Vardas7356          Pavarde7356         2.92                3.00                
Vardas5239          Pavarde5239         2.92                6.00                
Vardas4877          Pavarde4877         2.92                6.00                
Vardas2452          Pavarde2452         2.92                4.00                
Vardas2148          Pavarde2148         2.92                6.00                
Vardas7813          Pavarde7813         2.92                7.00                
Vardas652           Pavarde652          2.96                6.00                
Vardas3914          Pavarde3914         2.96                4.00                
Vardas3042          Pavarde3042         2.96                5.00                
Vardas3341          Pavarde3341         2.96                5.00                
Vardas4095          Pavarde4095         2.96                4.00                
Vardas8701          Pavarde8701         2.96                5.00                
Vardas9717          Pavarde9717         2.96                4.00                
Vardas9302          Pavarde9302         2.96                4.00                
Vardas7278          Pavarde7278         2.96                3.00                
Vardas55            Pavarde55           2.96                4.00                
Vardas4907          Pavarde4907         2.96                4.00                
Vardas9868          Pavarde9868         2.96                5.00                
Vardas6321          Pavarde6321         2.96                3.00                
Vardas2993          Pavarde2993         2.96                5.00                
Vardas9578          Pavarde9578         2.96                5.00                
Vardas9255          Pavarde9255         2.96                3.00                
Vardas3328          Pavarde3328         2.96                4.00                
Vardas94            Pavarde94           2.96                4.00                
Vardas1205          Pavarde1205         2.96                4.00                
Vardas2615          Pavarde2615         2.96                5.00                
Vardas3923          Pavarde3923         2.96                3.00                
Vardas7248          Pavarde7248         2.96                5.00                
Vardas2916          Pavarde2916         2.96                3.00                
Vardas7861          Pavarde7861         2.96                3.00                
Vardas107           Pavarde107          2.96                2.00                
Vardas7406          Pavarde7406         2.96                4.00                
Vardas412           Pavarde412          2.96                3.00                
Vardas9166          Pavarde9166         2.96                4.00                
Vardas2059          Pavarde2059         2.96                4.00                
Vardas9268          Pavarde9268         2.96                5.00                
Vardas4580          Pavarde4580         2.96                5.00                
Vardas4423          Pavarde4423         2.96                5.00                
Vardas5559          Pavarde5559         2.96                4.00                
Vardas2241          Pavarde2241         2.96                3.00                
Vardas2080          Pavarde2080         2.96                3.00                
Vardas7259          Pavarde7259         2.96                4.00                
Vardas9754          Pavarde9754         2.96                4.00                
Vardas8729          Pavarde8729         2.96                4.00                
Vardas9878          Pavarde9878         2.96                4.00                
Vardas5741          Pavarde5741         2.96                5.00                
Vardas3336          Pavarde3336         3.00                2.00                
Vardas1031          Pavarde1031         3.00                7.00                
Vardas4721          Pavarde4721         3.00                7.00                
Vardas6452          Pavarde6452         3.00                6.00                
Vardas6960          Pavarde6960         3.00                7.00                
Vardas3353          Pavarde3353         3.00                9.00                
Vardas3005          Pavarde3005         3.00                6.00                
Vardas8993          Pavarde8993         3.00                3.00                
Vardas5985          Pavarde5985         3.00                5.00                
Vardas4123          Pavarde4123         3.00                6.00                
Vardas4242          Pavarde4242         3.00                6.00                
Vardas6875          Pavarde6875         3.00                2.00                
Vardas1081          Pavarde1081         3.00                5.00                
Vardas5343          Pavarde5343         3.00                9.00                
Vardas2788          Pavarde2788         3.00                8.00                
Vardas1025          Pavarde1025         3.00                6.00                
Vardas9760          Pavarde9760         3.00                6.00                
Vardas9883          Pavarde9883         3.00                8.00                
Vardas3948          Pavarde3948         3.00                7.00                
Vardas7537          Pavarde7537         3.00                4.00                
Vardas7571          Pavarde7571         3.00                8.00                
Vardas6340          Pavarde6340         3.00                8.00                
Vardas5317          Pavarde5317         3.00                5.00                
Vardas5421          Pavarde5421         3.00                8.00                
Vardas5534          Pavarde5534         3.00                6.00                
Vardas3695          Pavarde3695         3.00                7.00                
Vardas5690          Pavarde5690         3.00                7.00                
Vardas3305          Pavarde3305         3.00                6.00                
Vardas8349          Pavarde8349         3.00                6.00                
Vardas2202          Pavarde2202         3.00                6.00                
Vardas9354          Pavarde9354         3.00                4.00                
Vardas3895          Pavarde3895         3.00                3.00                
Vardas494           Pavarde494          3.00                2.00                
Vardas4553          Pavarde4553         3.00                5.00                
Vardas2640          Pavarde2640         3.00                5.00                
Vardas9936          Pavarde9936         3.00                7.00                
Vardas4091          Pavarde4091         3.00                6.00                
Vardas7331          Pavarde7331         3.00                6.00                
Vardas3641          Pavarde3641         3.00                7.00                
Vardas8479          Pavarde8479         3.00                7.00                
Vardas1878          Pavarde1878         3.00                3.00                
Vardas5060          Pavarde5060         3.00                5.00                
Vardas8596          Pavarde8596         3.00                6.00                
Vardas2546          Pavarde2546         3.00                6.00                
Vardas6089          Pavarde6089         3.00                7.00                
Vardas4406          Pavarde4406         3.00                6.00                
Vardas3191          Pavarde3191         3.00                5.00                
Vardas334           Pavarde334          3.00                7.00                
Vardas3871          Pavarde3871         3.00                7.00                
Vardas4692          Pavarde4692         3.00                5.00                
Vardas7691          Pavarde7691         3.00                7.00                
Vardas3685          Pavarde3685         3.00                6.00                
Vardas1425          Pavarde1425         3.00                6.00                
Vardas5110          Pavarde5110         3.00                3.00                
Vardas4798          Pavarde4798         3.00                6.00                
Vardas9685          Pavarde9685         3.00                4.00                
Vardas7203          Pavarde7203         3.00                7.00                
Vardas270           Pavarde270          3.00                3.00                
Vardas4005          Pavarde4005         3.00                7.00                
Vardas2741          Pavarde2741         3.04                3.00                
Vardas1811          Pavarde1811         3.04                3.00                
Vardas3351          Pavarde3351         3.04                3.00                
Vardas8997          Pavarde8997         3.04                3.00                
Vardas726           Pavarde726          3.04                6.00                
Vardas4240          Pavarde4240         3.04                5.00                
Vardas1411          Pavarde1411         3.04                3.00                
Vardas1466          Pavarde1466         3.04                3.00                
Vardas2160          Pavarde2160         3.04                5.00                
Vardas647           Pavarde647          3.04                4.00                
Vardas280           Pavarde280          3.04                4.00                
Vardas9996          Pavarde9996         3.04                4.00                
Vardas1699          Pavarde1699         3.04                5.00                
Vardas3424          Pavarde3424         3.04                5.00                
Vardas5466          Pavarde5466         3.04                5.00                
Vardas2248          Pavarde2248         3.04                2.00                
Vardas2250          Pavarde2250         3.04                5.00                
Vardas7929          Pavarde7929         3.04                4.00                
Vardas7781          Pavarde7781         3.04                4.00                
Vardas4527          Pavarde4527         3.04                4.00                
Vardas845           Pavarde845          3.04                3.00                
Vardas8564          Pavarde8564         3.04                5.00                
Vardas2511          Pavarde2511         3.04                3.00                
Vardas7499          Pavarde7499         3.04                4.00                
Vardas1614          Pavarde1614         3.04                4.00                
Vardas5801          Pavarde5801         3.04                5.00                
Vardas6712          Pavarde6712         3.04                5.00                
Vardas9456          Pavarde9456         3.04                5.00                
Vardas8440          Pavarde8440         3.04                2.00                
Vardas9988          Pavarde9988         3.04                3.00                
Vardas1556          Pavarde1556         3.04                4.00                
Vardas9881          Pavarde9881         3.04                5.00                
Vardas2745          Pavarde2745         3.04                5.00                
Vardas9414          Pavarde9414         3.04                5.00                
Vardas7288          Pavarde7288         3.04                5.00                
Vardas5246          Pavarde5246         3.04                6.00                
Vardas9205          Pavarde9205         3.04                4.00                
Vardas4341          Pavarde4341         3.04                5.00                
Vardas7179          Pavarde7179         3.04                4.00                
Vardas3060          Pavarde3060         3.04                5.00                
Vardas625           Pavarde625          3.04                4.00                
Vardas5991          Pavarde5991         3.04                5.00                
Vardas4897          Pavarde4897         3.04                4.00                
Vardas2177          Pavarde2177         3.04                4.00                
Vardas9170          Pavarde9170         3.04                3.00                
Vardas9403          Pavarde9403         3.04                4.00                
Vardas3648          Pavarde3648         3.04                4.00                
Vardas6373          Pavarde6373         3.04                4.00                
Vardas9406          Pavarde9406         3.04                4.00                
Vardas4599          Pavarde4599         3.08                6.00                
Vardas579           Pavarde579          3.08                6.00                
Vardas4088          Pavarde4088         3.08                7.00                
Vardas9266          Pavarde9266         3.08                7.00                
Vardas1987          Pavarde1987         3.08                7.00                
Vardas6270          Pavarde6270         3.08                7.00                
Vardas156           Pavarde156          3.08                5.00                
Vardas8120          Pavarde8120         3.08                8.00                
Vardas7476          Pavarde7476         3.08                8.00                
Vardas6782          Pavarde6782         3.08                6.00                
Vardas7501          Pavarde7501         3.08                6.00                
Vardas7616          Pavarde7616         3.08                8.00                
Vardas2846          Pavarde2846         3.08                6.00                
Vardas4962          Pavarde4962         3.08                6.00                
Vardas4476          Pavarde4476         3.08                7.00                
Vardas4219          Pavarde4219         3.08                5.00                
Vardas8938          Pavarde8938         3.08                6.00                
Vardas2991          Pavarde2991         3.08                6.00                
Vardas5175          Pavarde5175         3.08                6.00                
Vardas3415          Pavarde3415         3.08                6.00                
Vardas9206          Pavarde9206         3.08                6.00                
Vardas3835          Pavarde3835         3.08                7.00                
Vardas9054          Pavarde9054         3.08                5.00                
Vardas648           Pavarde648          3.08                7.00                
Vardas1469          Pavarde1469         3.08                6.00                
Vardas3570          Pavarde3570         3.08                8.00                
Vardas3346          Pavarde3346         3.08                6.00                
Vardas5130          Pavarde5130         3.08                7.00                
Vardas9227          Pavarde9227         3.08                8.00                
Vardas6153          Pavarde6153         3.08                6.00                
Vardas7671          Pavarde7671         3.08                6.00                
Vardas4596          Pavarde4596         3.08                7.00                
Vardas9924          Pavarde9924         3.08                6.00                
Vardas4843          Pavarde4843         3.08                6.00                
Vardas1321          Pavarde1321         3.08                5.00                
Vardas8055          Pavarde8055         3.08                6.00                
Vardas8329          Pavarde8329         3.08                7.00                
Vardas5218          Pavarde5218         3.08                6.00                
Vardas1624          Pavarde1624         3.08                6.00                
Vardas5294          Pavarde5294         3.08                7.00                
Vardas1906          Pavarde1906         3.08                7.00                
Vardas2317          Pavarde2317         3.08                6.00                
Vardas2481          Pavarde2481         3.08                6.00                
Vardas8105          Pavarde8105         3.08                6.00                
Vardas5786          Pavarde5786         3.08                7.00                
Vardas8462          Pavarde8462         3.08                6.00                
Vardas686           Pavarde686          3.08                5.00                
Vardas9294          Pavarde9294         3.08                2.00                
Vardas5537          Pavarde5537         3.08                4.00                
Vardas2077          Pavarde2077         3.08                4.00                
Vardas872           Pavarde872          3.08                3.00                
Vardas2267          Pavarde2267         3.08                3.00                
Vardas436           Pavarde436          3.08                3.00                
Vardas683           Pavarde683          3.08                2.00                
Vardas8563          Pavarde8563         3.08                2.00                
Vardas9761          Pavarde9761         3.08                3.00                
Vardas1004          Pavarde1004         3.08                1.00                
Vardas1155          Pavarde1155         3.08                3.00                
Vardas158           Pavarde158          3.08                3.00                
Vardas4900          Pavarde4900         3.08                2.00                
Vardas8639          Pavarde8639         3.08                2.00                
Vardas4006          Pavarde4006         3.08                4.00                
Vardas1860          Pavarde1860         3.08                3.00                
Vardas1453          Pavarde1453         3.08                3.00                
Vardas8689          Pavarde8689         3.12                5.00                
Vardas3183          Pavarde3183         3.12                5.00                
Vardas8541          Pavarde8541         3.12                3.00                
Vardas8428          Pavarde8428         3.12                4.00                
Vardas7872          Pavarde7872         3.12                5.00                
Vardas8335          Pavarde8335         3.12                2.00                
Vardas8079          Pavarde8079         3.12                5.00                
Vardas254           Pavarde254          3.12                3.00                
Vardas8200          Pavarde8200         3.12                4.00                
Vardas3316          Pavarde3316         3.12                5.00                
Vardas7066          Pavarde7066         3.12                6.00                
Vardas4113          Pavarde4113         3.12                4.00                
Vardas6579          Pavarde6579         3.12                4.00                
Vardas6473          Pavarde6473         3.12                4.00                
Vardas6463          Pavarde6463         3.12                5.00                
Vardas1355          Pavarde1355         3.12                4.00                
Vardas6214          Pavarde6214         3.12                2.00                
Vardas4375          Pavarde4375         3.12                3.00                
Vardas6116          Pavarde6116         3.12                4.00                
Vardas8270          Pavarde8270         3.12                2.00                
Vardas4433          Pavarde4433         3.12                6.00                
Vardas7383          Pavarde7383         3.12                4.00                
Vardas7380          Pavarde7380         3.12                4.00                
Vardas1647          Pavarde1647         3.12                4.00                
Vardas6573          Pavarde6573         3.12                6.00                
Vardas7160          Pavarde7160         3.12                5.00                
Vardas4467          Pavarde4467         3.12                5.00                
Vardas5984          Pavarde5984         3.12                4.00                
Vardas1825          Pavarde1825         3.12                2.00                
Vardas1881          Pavarde1881         3.12                4.00                
Vardas5720          Pavarde5720         3.12                4.00                
Vardas4682          Pavarde4682         3.12                4.00                
Vardas5577          Pavarde5577         3.12                6.00                
Vardas285           Pavarde285          3.12                4.00                
Vardas7548          Pavarde7548         3.12                4.00                
Vardas3574          Pavarde3574         3.12                3.00                
Vardas58            Pavarde58           3.12                4.00                
Vardas2049          Pavarde2049         3.12                6.00                
Vardas5484          Pavarde5484         3.12                3.00                
Vardas4814          Pavarde4814         3.12                5.00                
Vardas223           Pavarde223          3.12                3.00                
Vardas5329          Pavarde5329         3.12                4.00                
Vardas2240          Pavarde2240         3.12                3.00                
Vardas7539          Pavarde7539         3.12                4.00                
Vardas5299          Pavarde5299         3.12                4.00                
Vardas651           Pavarde651          3.12                4.00                
Vardas2402          Pavarde2402         3.12                5.00                
Vardas9720          Pavarde9720         3.12                5.00                
Vardas2619          Pavarde2619         3.12                5.00                
Vardas3531          Pavarde3531         3.12                4.00                
Vardas507           Pavarde507          3.12                4.00                
Vardas9664          Pavarde9664         3.12                6.00                
Vardas9307          Pavarde9307         3.12                6.00                
Vardas2817          Pavarde2817         3.12                4.00                
Vardas7527          Pavarde7527         3.12                5.00                
Vardas8931          Pavarde8931         3.12                5.00                
Vardas3855          Pavarde3855         3.12                4.00                
Vardas3037          Pavarde3037         3.12                4.00                
Vardas3087          Pavarde3087         3.12                5.00                
Vardas3062          Pavarde3062         3.16                3.00                
Vardas5604          Pavarde5604         3.16                3.00                
Vardas9055          Pavarde9055         3.16                3.00                
Vardas4293          Pavarde4293         3.16                3.00                
Vardas8289          Pavarde8289         3.16                2.00                
Vardas5886          Pavarde5886         3.16                2.00                
Vardas7745          Pavarde7745         3.16                4.00                
Vardas2116          Pavarde2116         3.16                2.00                
Vardas5920          Pavarde5920         3.16                3.00                
Vardas8983          Pavarde8983         3.16                2.00                
Vardas3623          Pavarde3623         3.16                3.00                
Vardas9919          Pavarde9919         3.16                3.00                
Vardas8233          Pavarde8233         3.16                3.00                
Vardas6108          Pavarde6108         3.16                3.00                
Vardas696           Pavarde696          3.16                4.00                
Vardas8947          Pavarde8947         3.16                3.00                
Vardas4472          Pavarde4472         3.16                4.00                
Vardas1353          Pavarde1353         3.16                3.00                
Vardas8718          Pavarde8718         3.16                4.00                
Vardas8542          Pavarde8542         3.16                2.00                
Vardas1663          Pavarde1663         3.16                4.00                
Vardas9239          Pavarde9239         3.16                7.00                
Vardas3722          Pavarde3722         3.16                9.00                
Vardas1395          Pavarde1395         3.16                7.00                
Vardas4766          Pavarde4766         3.16                6.00                
Vardas8421          Pavarde8421         3.16                7.00                
Vardas3298          Pavarde3298         3.16                6.00                
Vardas3295          Pavarde3295         3.16                8.00                
Vardas981           Pavarde981          3.16                7.00                
Vardas122           Pavarde122          3.16                8.00                
Vardas6216          Pavarde6216         3.16                6.00                
Vardas8843          Pavarde8843         3.16                6.00                
Vardas793           Pavarde793          3.16                7.00                
Vardas6334          Pavarde6334         3.16                7.00                
Vardas2147          Pavarde2147         3.16                8.00                
Vardas6654          Pavarde6654         3.16                7.00                
Vardas6795          Pavarde6795         3.16                8.00                
Vardas873           Pavarde873          3.16                5.00                
Vardas6884          Pavarde6884         3.16                7.00                
Vardas9064          Pavarde9064         3.16                8.00                
Vardas9463          Pavarde9463         3.16                6.00                
Vardas5064          Pavarde5064         3.16                5.00                
Vardas7157          Pavarde7157         3.16                7.00                
Vardas453           Pavarde453          3.16                6.00                
Vardas5137          Pavarde5137         3.16                6.00                
Vardas2508          Pavarde2508         3.16                6.00                
Vardas7659          Pavarde7659         3.16                7.00                
Vardas3123          Pavarde3123         3.16                7.00                
Vardas9529          Pavarde9529         3.16                7.00                
Vardas7031          Pavarde7031         3.16                7.00                
Vardas5008          Pavarde5008         3.16                6.00                
Vardas3946          Pavarde3946         3.16                8.00                
Vardas7277          Pavarde7277         3.16                6.00                
Vardas1537          Pavarde1537         3.16                7.00                
Vardas466           Pavarde466          3.16                7.00                
Vardas7515          Pavarde7515         3.16                6.00                
Vardas9753          Pavarde9753         3.16                7.00                
Vardas4904          Pavarde4904         3.16                6.00                
Vardas2310          Pavarde2310         3.16                5.00                
Vardas7704          Pavarde7704         3.16                7.00                
Vardas6489          Pavarde6489         3.16                7.00                
Vardas215           Pavarde215          3.20                5.00                
Vardas2096          Pavarde2096         3.20                4.00                
Vardas1359          Pavarde1359         3.20                7.00                
Vardas10            Pavarde10           3.20                6.00                
Vardas582           Pavarde582          3.20                5.00                
Vardas2329          Pavarde2329         3.20                4.00                
Vardas8296          Pavarde8296         3.20                6.00                
Vardas8397          Pavarde8397         3.20                3.00                
Vardas236           Pavarde236          3.20                6.00                
Vardas2331          Pavarde2331         3.20                5.00                
Vardas1076          Pavarde1076         3.20                6.00                
Vardas7980          Pavarde7980         3.20                5.00                
Vardas1980          Pavarde1980         3.20                5.00                
Vardas2072          Pavarde2072         3.20                2.00                
Vardas921           Pavarde921          3.20                5.00                
Vardas1032          Pavarde1032         3.20                5.00                
Vardas3156          Pavarde3156         3.20                4.00                
Vardas7168          Pavarde7168         3.20                3.00                
Vardas3867          Pavarde3867         3.20                6.00                
Vardas9903          Pavarde9903         3.20                3.00                
Vardas2628          Pavarde2628         3.20                5.00                
Vardas5549          Pavarde5549         3.20                6.00                
Vardas6967          Pavarde6967         3.20                6.00                
Vardas7708          Pavarde7708         3.20                5.00                
Vardas4725          Pavarde4725         3.20                3.00                
Vardas6533          Pavarde6533         3.20                6.00                
Vardas5556          Pavarde5556         3.20                4.00                
Vardas8533          Pavarde8533         3.20                6.00                
Vardas5561          Pavarde5561         3.20                5.00                
Vardas9977          Pavarde9977         3.20                4.00                
Vardas4450          Pavarde4450         3.20                7.00                
Vardas5987          Pavarde5987         3.20                5.00                
Vardas6167          Pavarde6167         3.20                6.00                
Vardas9540          Pavarde9540         3.20                5.00                
Vardas9522          Pavarde9522         3.20                5.00                
Vardas7711          Pavarde7711         3.20                5.00                
Vardas9557          Pavarde9557         3.20                4.00                
Vardas7303          Pavarde7303         3.20                4.00                
Vardas6674          Pavarde6674         3.20                5.00                
Vardas1970          Pavarde1970         3.20                5.00                
Vardas4612          Pavarde4612         3.20                5.00                
Vardas408           Pavarde408          3.20                5.00                
Vardas5163          Pavarde5163         3.20                6.00                
Vardas4424          Pavarde4424         3.20                5.00                
Vardas6344          Pavarde6344         3.20                5.00                
Vardas2559          Pavarde2559         3.20                5.00                
Vardas7706          Pavarde7706         3.20                6.00                
Vardas9470          Pavarde9470         3.20                4.00                
Vardas4419          Pavarde4419         3.20                5.00                
Vardas4781          Pavarde4781         3.20                3.00                
Vardas2256          Pavarde2256         3.20                2.00                
Vardas8803          Pavarde8803         3.20                5.00                
Vardas1762          Pavarde1762         3.20                4.00                
Vardas9851          Pavarde9851         3.20                4.00                
Vardas9424          Pavarde9424         3.20                4.00                
Vardas3785          Pavarde3785         3.20                4.00                
Vardas5473          Pavarde5473         3.20                4.00                
Vardas5475          Pavarde5475         3.20                4.00                
Vardas5499          Pavarde5499         3.20                5.00                
Vardas2165          Pavarde2165         3.20                5.00                
Vardas5042          Pavarde5042         3.20                5.00                
Vardas6679          Pavarde6679         3.20                4.00                
Vardas5609          Pavarde5609         3.24                4.00                
Vardas5937          Pavarde5937         3.24                3.00                
Vardas8392          Pavarde8392         3.24                4.00                
Vardas7947          Pavarde7947         3.24                3.00                
Vardas2665          Pavarde2665         3.24                4.00                
Vardas6159          Pavarde6159         3.24                2.00                
Vardas5261          Pavarde5261         3.24                3.00                
Vardas9260          Pavarde9260         3.24                3.00                
Vardas4947          Pavarde4947         3.24                2.00                
Vardas8794          Pavarde8794         3.24                3.00                
Vardas2753          Pavarde2753         3.24                3.00                
Vardas6031          Pavarde6031         3.24                3.00                
Vardas4714          Pavarde4714         3.24                4.00                
Vardas3716          Pavarde3716         3.24                2.00                
Vardas1154          Pavarde1154         3.24                1.00                
Vardas5553          Pavarde5553         3.24                2.00                
